"ticker","fiscal_year","pe_x","pb_x","dividend_yield_pct","ev_ebitda_x","fcf_yield_pct"
"AAPL","FY2022",38.9,44,0.4,93.6,2.9
"AAPL","FY2023",40,44,0.4,71.1,2.6
"AAPL","FY2024",41.4,44,0.4,67.7,2.8
"AAPL","FY2025",34.7,44,0.4,49.7,2.5
"AMZN","FY2022",NA,5.5,0,93.5,-0.7
"AMZN","FY2023",74.1,5.5,0,33,1.4
"AMZN","FY2024",38,5.5,0,21.5,1.5
"AMZN","FY2025",29,5.5,0,15.8,0.3
"GOOGL","FY2022",62.9,9.1,0.3,45.6,1.6
"GOOGL","FY2023",51.1,9.1,0.3,38.9,1.8
"GOOGL","FY2024",37.7,9.1,0.3,27.8,1.9
"GOOGL","FY2025",28.5,9.1,0.3,22.3,1.9
"META","FY2022",70.7,7.5,0.3,47.6,1.2
"META","FY2023",41.9,7.5,0.3,26.9,2.7
"META","FY2024",26.3,7.5,0.3,19.4,3.3
"META","FY2025",27.1,7.5,0.3,18.9,2.8
"MSFT","FY2022",40.1,7.5,0.9,37.4,2.2
"MSFT","FY2023",40.3,7.5,0.9,31.2,2
"MSFT","FY2024",33.1,7.5,0.9,25.9,2.5
"MSFT","FY2025",28.7,7.5,0.9,19.8,2.5
"NVDA","FY2023",985.9,27.4,0,1000.7,0.1
"NVDA","FY2024",144.7,27.4,0,131.7,0.6
"NVDA","FY2025",59.1,27.4,0,50.9,1.4
"NVDA","FY2026",35.9,27.4,0,29.9,2.2
"TSLA","FY2022",120,18.4,0,65.4,0.5
"TSLA","FY2023",100.7,18.4,0,91,0.3
"TSLA","FY2024",211.8,18.4,0,99.1,0.2
"TSLA","FY2025",398.1,18.4,0,125.6,0.4
